hhid,persid,jtwid,dayType,start_loc,start_stopid,start_time,start_LGA,end_loc,end_stopid,end_time,end_LGA,mainmode_desc_01,destpurp1_desc_01,destplace1_desc_01,startime_01,arrtime_01,vistadist_01,travtime_01,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS,weight,wfh_intensity,wfh_adopter,wfh_category,perspoststratweight,agegroup,sex,carlicence,emptype,persinc,analysis_weight
Y24H6150340,Y24H6150340P01,Y24H6150340P01JTW1498,Weekday,FROM_HOME,Y24H6150340P01S01,480,Moonee Valley (C),TO_WORK,Y24H6150340P01S01,510.0,Melbourne (C),Vehicle Driver,Work Related,Place of work,480.0,510.0,7.63404,30.0,Vehicle Driver,30.0,7.63404,30.0,856.613561146,MELB - Inner,Greater Melbourne,856.613561146,0.0,0,No_WFH,856.613561146,35->39,Female,Full Licence,Paid Employee,"$2,000-$2,999 ($104,000-$155,999)",856.613561146
Y24H6150511,Y24H6150511P02,Y24H6150511P02JTW1499,Weekday,FROM_HOME,Y24H6150511P02S01,601,Wyndham (C),TO_WORK,Y24H6150511P02S01,627.0,Maribyrnong (C),Vehicle Driver,Work Related,Place of work,601.0,627.0,27.24975,26.0,Vehicle Driver,26.0,27.24975,26.0,568.157842798,MELB - Outer,Greater Melbourne,568.157842798,0.0,0,No_WFH,568.157842798,30->34,Female,Full Licence,Paid Employee,"$1,250-$1,499 ($65,000-$77,999)",568.157842798
Y24H6150515,Y24H6150515P01,Y24H6150515P01JTW1500,Weekday,FROM_HOME,Y24H6150515P01S01,325,Wyndham (C),TO_WORK,Y24H6150515P01S01,360.0,Hume (C),Vehicle Driver,Work Related,Place of work,325.0,360.0,34.94209,35.0,Vehicle Driver,35.0,34.94209,35.0,707.089217235,MELB - Outer,Greater Melbourne,707.089217235,0.0,0,No_WFH,707.089217235,65->69,Male,Full Licence,Paid Employee,"$1,750-$1,999 ($91,000-$103,999)",707.089217235
Y24H6150519,Y24H6150519P03,Y24H6150519P03JTW1501,Weekday,FROM_HOME,Y24H6150519P03S01,386,Wyndham (C),TO_WORK,Y24H6150519P03S02,421.0,Hobsons Bay (C),Vehicle Passenger,Personal Business,Accommodation,386.0,390.0,2.19071,4.0,Vehicle Passenger,28.0,24.2843,35.0,1717.629074295,MELB - Outer,Greater Melbourne,1717.629074295,0.0,0,No_WFH,1511.36240811,15->19,Male,Learners Permit,Paid Employee,Nil income,1717.629074295
Y24H6150522,Y24H6150522P02,Y24H6150522P02JTW1502,Weekday,FROM_HOME,Y24H6150522P02S01,315,Wyndham (C),TO_WORK,Y24H6150522P02S01,345.0,Brimbank (C),Vehicle Driver,Work Related,Place of work,315.0,345.0,21.59534,30.0,Vehicle Driver,30.0,21.59534,30.0,1224.465196624,MELB - Outer,Greater Melbourne,1224.465196624,0.0,0,No_WFH,729.326845883,60->64,Male,Full Licence,Paid Employee,"$1,250-$1,499 ($65,000-$77,999)",1224.465196624
Y24H6150524,Y24H6150524P01,Y24H6150524P01JTW1503,Weekday,FROM_HOME,Y24H6150524P01S01,306,Wyndham (C),TO_WORK,Y24H6150524P01S03,410.0,Melbourne (C),Vehicle Driver,Change Mode,Transport Feature,306.0,312.0,3.38047,6.0,Train,57.0,39.30975000000001,104.0,682.417313256,MELB - Outer,Greater Melbourne,682.417313256,0.0,0,No_WFH,682.417313256,60->64,Male,Full Licence,Paid Employee,"$1,250-$1,499 ($65,000-$77,999)",682.417313256
Y24H6150524,Y24H6150524P02,Y24H6150524P02JTW1504,Weekday,FROM_HOME,Y24H6150524P02S03,1279,Wyndham (C),TO_WORK,Y24H6150524P02S03,1303.0,Wyndham (C),Vehicle Driver,Work Related,Place of work,1279.0,1303.0,18.77896,24.0,Vehicle Driver,24.0,18.77896,24.0,826.368330876,MELB - Outer,Greater Melbourne,826.368330876,0.0,0,No_WFH,727.421470306,25->29,Male,Full Licence,Paid Employee,"$1,750-$1,999 ($91,000-$103,999)",826.368330876
Y24H6150524,Y24H6150524P03,Y24H6150524P03JTW1505,Weekday,FROM_HOME,Y24H6150524P03S01,540,Wyndham (C),TO_WORK,Y24H6150524P03S04,600.0,Wyndham (C),Walking,Change Mode,Transport Feature,540.0,545.0,0.25002,5.0,Public Bus,28.0,7.42929,60.0,799.616561855,MELB - Outer,Greater Melbourne,799.616561855,0.0,0,No_WFH,799.616561855,25->29,Female,No Car Licence,Paid Employee,"$1,250-$1,499 ($65,000-$77,999)",799.616561855
Y24H6150539,Y24H6150539P01,Y24H6150539P01JTW1506,Weekday,FROM_HOME,Y24H6150539P01S01,532,Wyndham (C),TO_WORK,Y24H6150539P01S04,664.0,Melbourne (C),Vehicle Passenger,Personal Business,Place of education,532.0,538.0,1.93501,6.0,Train,53.0,35.95516,132.0,339.240283767,MELB - Outer,Greater Melbourne,339.240283767,0.0,0,No_WFH,339.240283767,40->44,Male,Full Licence,Paid Employee,"$1,500-$1,749 ($78,000-$90,999)",339.240283767
Y24H6156123,Y24H6156123P01,Y24H6156123P01JTW1507,Weekday,FROM_HOME,Y24H6156123P01S01,531,Campaspe (S),TO_WORK,Y24H6156123P01S01,547.0,Campaspe (S),Vehicle Driver,Work Related,Place of work,531.0,547.0,17.14383,16.0,Vehicle Driver,16.0,17.14383,16.0,618.704796146,Other,Shepparton SA4,618.704796146,0.0,0,No_WFH,368.518450953,25->29,Female,Full Licence,Paid Employee,"$650-$799 ($33,800-$41,599)",618.704796146
Y24H6156123,Y24H6156123P02,Y24H6156123P02JTW1508,Weekday,FROM_HOME,Y24H6156123P02S01,531,Campaspe (S),TO_WORK,Y24H6156123P02S01,547.0,Campaspe (S),Vehicle Passenger,Work Related,Place of work,531.0,547.0,17.14383,16.0,Vehicle Passenger,16.0,17.14383,16.0,157.80768122,Other,Shepparton SA4,157.80768122,0.0,0,No_WFH,157.80768122,25->29,Female,Full Licence,Paid Employee,"$650-$799 ($33,800-$41,599)",157.80768122
Y24H6156124,Y24H6156124P01,Y24H6156124P01JTW1509,Weekday,FROM_HOME,Y24H6156124P01S01,430,Campaspe (S),TO_WORK,Y24H6156124P01S01,450.0,Campaspe (S),Vehicle Driver,Work Related,Place of work,430.0,450.0,1.8862,20.0,Vehicle Driver,20.0,1.8862,20.0,90.030810194,Other,Shepparton SA4,90.030810194,0.0,0,No_WFH,90.030810194,30->34,Male,Full Licence,Paid Employee,"$650-$799 ($33,800-$41,599)",90.030810194
Y24H6156124,Y24H6156124P02,Y24H6156124P02JTW1510,Weekday,FROM_HOME,Y24H6156124P02S01,405,Campaspe (S),TO_WORK,Y24H6156124P02S01,410.0,Campaspe (S),Walking,Work Related,Place of work,405.0,410.0,0.29531,5.0,Walking,5.0,0.29531,5.0,188.103478,Other,Shepparton SA4,188.103478,0.0,0,No_WFH,112.039865802,25->29,Female,Learners Permit,Paid Employee,"$1,000-$1,249 ($52,000-$64,999)",188.103478
Y24H6156131,Y24H6156131P01,Y24H6156131P01JTW1511,Weekday,FROM_HOME,Y24H6156131P01S01,391,Campaspe (S),TO_WORK,Y24H6156131P01S01,393.0,Campaspe (S),Vehicle Driver,Work Related,Place of work,391.0,393.0,1.72601,2.0,Vehicle Driver,2.0,1.72601,2.0,119.602350421,Other,Shepparton SA4,119.602350421,0.0,0,No_WFH,119.602350421,65->69,Female,Full Licence,Paid Employee,"$1,500-$1,749 ($78,000-$90,999)",119.602350421
Y24H6156131,Y24H6156131P01,Y24H6156131P01JTW1512,Weekday,FROM_HOME,Y24H6156131P01S03,629,Campaspe (S),TO_WORK,Y24H6156131P01S03,632.0,Campaspe (S),Vehicle Driver,Work Related,Place of work,629.0,632.0,1.68229,3.0,Vehicle Driver,3.0,1.68229,3.0,119.602350421,Other,Shepparton SA4,119.602350421,0.0,0,No_WFH,119.602350421,65->69,Female,Full Licence,Paid Employee,"$1,500-$1,749 ($78,000-$90,999)",119.602350421
Y24H6156204,Y24H6156204P01,Y24H6156204P01JTW1513,Weekday,FROM_HOME,Y24H6156204P01S01,407,Greater Shepparton (C),TO_WORK,Y24H6156204P01S01,419.0,Greater Shepparton (C),Walking,Work Related,Place of work,407.0,419.0,0.75623,12.0,Walking,12.0,0.75623,12.0,250.184791032,Other,Shepparton SA4,250.184791032,0.0,0,No_WFH,250.184791032,20->24,Male,No Car Licence,Paid Employee,"$650-$799 ($33,800-$41,599)",250.184791032
Y24H6156205,Y24H6156205P01,Y24H6156205P01JTW1514,Weekday,FROM_HOME,Y24H6156205P01S01,330,Greater Shepparton (C),TO_WORK,Y24H6156205P01S03,420.0,Interstate,Vehicle Driver,Pick-up or Drop-off Someone,Accommodation,330.0,342.0,9.33838,12.0,Vehicle Driver,81.0,9.51313,90.0,121.231710574,Other,Shepparton SA4,121.231710574,0.0,0,No_WFH,121.231710574,25->29,Male,Full Licence,Self-Employed,"$1,250-$1,499 ($65,000-$77,999)",121.231710574
Y24H6156223,Y24H6156223P01,Y24H6156223P01JTW1515,Weekday,FROM_HOME,Y24H6156223P01S01,420,Greater Shepparton (C),TO_WORK,Y24H6156223P01S01,427.0,Greater Shepparton (C),Vehicle Driver,Work Related,Place of work,420.0,427.0,4.16564,7.0,Vehicle Driver,7.0,4.16564,7.0,88.66149072,Other,Shepparton SA4,88.66149072,0.0,0,No_WFH,88.66149072,55->59,Female,Full Licence,Paid Employee,"$650-$799 ($33,800-$41,599)",88.66149072
Y24H6156223,Y24H6156223P02,Y24H6156223P02JTW1516,Weekday,FROM_HOME,Y24H6156223P02S01,520,Greater Shepparton (C),TO_WORK,Y24H6156223P02S01,537.0,Greater Shepparton (C),Walking,Work Related,Place of work,520.0,537.0,1.23609,17.0,Walking,17.0,1.23609,17.0,90.412436027,Other,Shepparton SA4,90.412436027,0.0,0,No_WFH,90.412436027,25->29,Female,Learners Permit,Paid Employee,"$800-$999 ($41,600-$51,999)",90.412436027
Y24H6156229,Y24H6156229P01,Y24H6156229P01JTW1517,Weekday,FROM_HOME,Y24H6156229P01S01,520,Greater Shepparton (C),TO_WORK,Y24H6156229P01S01,525.0,Greater Shepparton (C),Vehicle Driver,Work Related,Place of work,520.0,525.0,1.70058,5.0,Vehicle Driver,5.0,1.70058,5.0,178.877108205,Other,Shepparton SA4,178.877108205,0.0,0,No_WFH,178.877108205,45->49,Female,Full Licence,Paid Employee,"$800-$999 ($41,600-$51,999)",178.877108205
Y24H6156231,Y24H6156231P02,Y24H6156231P02JTW1518,Weekday,FROM_HOME,Y24H6156231P02S01,1290,Greater Shepparton (C),TO_WORK,Y24H6156231P02S01,1320.0,Greater Shepparton (C),Vehicle Driver,Work Related,Place of work,1290.0,1320.0,2.47951,30.0,Vehicle Driver,30.0,2.47951,30.0,237.238537984,Other,Shepparton SA4,237.238537984,0.0,0,No_WFH,209.364657895,55->59,Male,Full Licence,Paid Employee,"$800-$999 ($41,600-$51,999)",237.238537984
Y24H6156231,Y24H6156231P03,Y24H6156231P03JTW1519,Weekday,FROM_HOME,Y24H6156231P03S01,810,Greater Shepparton (C),TO_WORK,Y24H6156231P03S01,840.0,Greater Shepparton (C),Vehicle Driver,Work Related,Place of work,810.0,840.0,2.47944,30.0,Vehicle Driver,30.0,2.47944,30.0,395.787388585,Other,Shepparton SA4,395.787388585,0.0,0,No_WFH,235.742402931,20->24,Female,Green Probationary Licence,Paid Employee,"$800-$999 ($41,600-$51,999)",395.787388585
Y24H6156236,Y24H6156236P02,Y24H6156236P02JTW1520,Weekday,FROM_HOME,Y24H6156236P02S01,502,Greater Shepparton (C),TO_WORK,Y24H6156236P02S01,514.0,Greater Shepparton (C),Bicycle,Work Related,Place of work,502.0,514.0,2.21923,12.0,Bicycle,12.0,2.21923,12.0,70.392846332,Other,Shepparton SA4,70.392846332,0.0,0,No_WFH,70.392846332,25->29,Female,Full Licence,Paid Employee,"$2,000-$2,999 ($104,000-$155,999)",70.392846332
Y24H6156236,Y24H6156236P02,Y24H6156236P02JTW1521,Weekday,FROM_HOME,Y24H6156236P02S03,691,Greater Shepparton (C),TO_WORK,Y24H6156236P02S05,721.0,Greater Shepparton (C),Vehicle Driver,Buy Something,Retail venue,691.0,700.0,3.77183,9.0,Vehicle Driver,21.0,7.22974,30.0,70.392846332,Other,Shepparton SA4,70.392846332,0.0,0,No_WFH,70.392846332,25->29,Female,Full Licence,Paid Employee,"$2,000-$2,999 ($104,000-$155,999)",70.392846332
Y24H6160108,Y24H6160108P01,Y24H6160108P01JTW1522,Weekday,FROM_HOME,Y24H6160108P01S03,510,Mornington Peninsula (S),TO_WORK,Y24H6160108P01S04,540.0,Mornington Peninsula (S),Vehicle Driver,Pick-up or Drop-off Someone,Place of education,510.0,520.0,8.32029,10.0,Vehicle Driver,30.0,26.03303,30.0,737.003110238,MELB - Outer,Greater Melbourne,737.003110238,0.0,0,No_WFH,737.003110238,45->49,Female,Full Licence,Paid Employee,"$1,500-$1,749 ($78,000-$90,999)",737.003110238
Y24H6160108,Y24H6160108P02,Y24H6160108P02JTW1523,Weekday,FROM_HOME,Y24H6160108P02S01,465,Mornington Peninsula (S),TO_WORK,Y24H6160108P02S01,480.0,Mornington Peninsula (S),Vehicle Driver,Work Related,Place of work,465.0,480.0,10.34418,15.0,Vehicle Driver,15.0,10.34418,15.0,689.400431681,MELB - Outer,Greater Melbourne,689.400431681,0.0,0,No_WFH,689.400431681,45->49,Male,Full Licence,Paid Employee,"$1,250-$1,499 ($65,000-$77,999)",689.400431681
Y24H6160208,Y24H6160208P01,Y24H6160208P01JTW1524,Weekday,FROM_HOME,Y24H6160208P01S01,540,Monash (C),TO_WORK,Y24H6160208P01S01,543.0,Monash (C),Vehicle Driver,Work Related,Place of work,540.0,543.0,1.09107,3.0,Vehicle Driver,3.0,1.09107,3.0,1177.984661396,MELB - Middle,Greater Melbourne,1177.984661396,0.0,0,No_WFH,701.641696279,55->59,Female,Full Licence,Self-Employed,"$1,750-$1,999 ($91,000-$103,999)",1177.984661396
Y24H6160216,Y24H6160216P02,Y24H6160216P02JTW1525,Weekday,FROM_HOME,Y24H6160216P02S01,418,Monash (C),TO_WORK,Y24H6160216P02S01,451.0,Melbourne (C),Vehicle Driver,Work Related,Place of work,418.0,451.0,21.44682,33.0,Vehicle Driver,33.0,21.44682,33.0,407.570818396,MELB - Middle,Greater Melbourne,407.570818396,0.0,0,No_WFH,407.570818396,55->59,Female,Full Licence,Paid Employee,"$3,000-$3,499 ($156,000-$181,999)",407.570818396
